category,total_count,damage_count,damage_rate,overall_damage_rate,risk_lift,min_count_pass
Climb,5048,675,0.133716323296355,0.07093090993825003,1.8851629481810361,True
Local,289,34,0.11764705882352941,0.07093090993825003,1.6586148256937465,True
Descent,773,77,0.09961190168175937,0.07093090993825003,1.4043511040317684,True
Approach,21237,1510,0.07110232142016293,0.07093090993825003,1.0024165978141564,True
Take-off Run,5311,367,0.06910186405573339,0.07093090993825003,0.9742136977502622,True
Arrival,391,19,0.04859335038363171,0.07093090993825003,0.6850800366995909,True
Departure,1053,50,0.04748338081671415,0.07093090993825003,0.6694314348716451,True
Landing Roll,8632,310,0.035912882298424466,0.07093090993825003,0.5063079316152713,True
Taxi,168,1,0.005952380952380952,0.07093090993825003,0.08391801201426694,True
Parked,13,1,0.07692307692307693,0.07093090993825003,1.0844789244920652,False
