category,total_count,damage_count,damage_rate,overall_damage_rate,risk_lift,min_count_pass
White-tailed deer,110,96,0.8727272727272727,0.07093090993825003,12.303906343328155,True
Black vulture,125,92,0.736,0.07093090993825003,10.376294349540078,True
Canada goose,237,135,0.569620253164557,0.07093090993825003,8.030635073770355,True
Turkey vulture,233,132,0.5665236051502146,0.07093090993825003,7.9869778301647365,True
Bald eagle,149,78,0.5234899328859061,0.07093090993825003,7.380279392180899,True
Osprey,114,49,0.4298245614035088,0.07093090993825003,6.05976381492496,True
Northern pintail,83,33,0.39759036144578314,0.07093090993825003,5.605318778398746,True
Geese,54,20,0.37037037037037035,0.07093090993825003,5.221565191998831,True
Unknown bird - large,462,161,0.3484848484848485,0.07093090993825003,4.913018157926174,True
Mallard,139,48,0.34532374100719426,0.07093090993825003,4.86845215023776,True
Great blue heron,73,23,0.3150684931506849,0.07093090993825003,4.4419068277140745,True
American coot,50,14,0.28,0.07093090993825003,3.947503285151117,True
Red-tailed hawk,478,127,0.26569037656903766,0.07093090993825003,3.745762979783262,True
Hawks,132,32,0.24242424242424243,0.07093090993825003,3.417751762035599,True
White-headed gull complex,153,36,0.23529411764705882,0.07093090993825003,3.317229651387493,True
Herring gull,141,29,0.20567375886524822,0.07093090993825003,2.8996351385355212,True
Gulls,341,47,0.1378299120234604,0.07093090993825003,1.9431572518024975,True
Peregrine falcon,63,8,0.12698412698412698,0.07093090993825003,1.790250922971028,True
Rock pigeon,334,41,0.12275449101796407,0.07093090993825003,1.730620559144523,True
Unknown bird - medium,1734,202,0.11649365628604383,0.07093090993825003,1.6423538960300823,True
Doves,111,10,0.09009009009009009,0.07093090993825003,1.270110452107824,True
Western cattle egret,190,17,0.08947368421052632,0.07093090993825003,1.261420222698665,True
American robin,362,31,0.0856353591160221,0.07093090993825003,1.2073066479842602,True
Laughing gull,100,7,0.07,0.07093090993825003,0.9868758212877793,True
American barn owl,167,11,0.0658682634730539,0.07093090993825003,0.928625665882427,True
Ring-billed gull,179,11,0.061452513966480445,0.07093090993825003,0.8663714312981301,True
Coyote,108,6,0.05555555555555555,0.07093090993825003,0.7832347787998247,True
Purple martin,83,4,0.04819277108433735,0.07093090993825003,0.679432579199848,True
Western meadowlark,302,14,0.046357615894039736,0.07093090993825003,0.6535601465481982,True
Unknown bird,11937,534,0.04473485800452375,0.07093090993825003,0.6306821390486651,True
Mourning dove,1321,56,0.04239212717638153,0.07093090993825003,0.5976537903332501,True
Cedar waxwing,173,7,0.04046242774566474,0.07093090993825003,0.5704484516114331,True
Eastern meadowlark,403,16,0.03970223325062035,0.07093090993825003,0.5597310578023561,True
Hoary bat,52,2,0.038461538461538464,0.07093090993825003,0.5422394622460326,True
Swainson's thrush,217,8,0.03686635944700461,0.07093090993825003,0.5197502679593307,True
Western sandpiper,84,3,0.03571428571428571,0.07093090993825003,0.5035080720856016,True
European starling,551,19,0.034482758620689655,0.07093090993825003,0.486145724772305,True
Short-eared owl,58,2,0.034482758620689655,0.07093090993825003,0.486145724772305,True
Hermit thrush,105,3,0.02857142857142857,0.07093090993825003,0.4028064576684813,True
Pacific golden-plover,130,3,0.023076923076923078,0.07093090993825003,0.32534367734761954,True
Red-winged blackbird,87,2,0.022988505747126436,0.07093090993825003,0.3240971498482033,True
Unknown bird - small,7998,179,0.022380595148787197,0.07093090993825003,0.3155266888338379,True
American kestrel,764,17,0.02225130890052356,0.07093090993825003,0.31370398208474654,True
Killdeer,737,16,0.021709633649932156,0.07093090993825003,0.3060673219733372,True
Dark-eyed junco,98,2,0.02040816326530612,0.07093090993825003,0.2877188983346295,True
Perching birds (y),224,4,0.017857142857142856,0.07093090993825003,0.2517540360428008,True
Tennessee warbler,57,1,0.017543859649122806,0.07093090993825003,0.2473372985683657,True
Horned lark,991,16,0.016145307769929364,0.07093090993825003,0.22762019807704292,True
Common yellowthroat,62,1,0.016129032258064516,0.07093090993825003,0.22739074223220718,True
Ruby-crowned kinglet,67,1,0.014925373134328358,0.07093090993825003,0.21042128385666933,True
Yellow-rumped warbler,162,2,0.012345679012345678,0.07093090993825003,0.1740521730666277,True
Brazilian free-tailed bat,348,4,0.011494252873563218,0.07093090993825003,0.16204857492410166,True
Vesper bats,91,1,0.01098901098901099,0.07093090993825003,0.15492556064172358,True
Common nighthawk,113,1,0.008849557522123894,0.07093090993825003,0.1247630621097066,True
Red-eyed vireo,115,1,0.008695652173913044,0.07093090993825003,0.12259326972518995,True
Barn swallow,1622,14,0.008631319358816275,0.07093090993825003,0.121686291157556,True
Gray catbird,116,1,0.008620689655172414,0.07093090993825003,0.12153643119307625,True
Chimney swift,488,4,0.00819672131147541,0.07093090993825003,0.11555922965899054,True
Swallows,122,1,0.00819672131147541,0.07093090993825003,0.11555922965899054,True
Eastern red bat,126,1,0.007936507936507936,0.07093090993825003,0.11189068268568925,True
White-throated sparrow,126,1,0.007936507936507936,0.07093090993825003,0.11189068268568925,True
Bank swallow,134,1,0.007462686567164179,0.07093090993825003,0.10521064192833467,True
Savannah sparrow,188,1,0.005319148936170213,0.07093090993825003,0.07499056392764279,True
Cliff swallow,523,1,0.0019120458891013384,0.07093090993825003,0.026956455102097217,True
Sparrows,206,0,0.0,0.07093090993825003,0.0,True
Tree swallow,178,0,0.0,0.07093090993825003,0.0,True
American pipit,121,0,0.0,0.07093090993825003,0.0,True
Microbats,94,0,0.0,0.07093090993825003,0.0,True
Ovenbird,79,0,0.0,0.07093090993825003,0.0,True
Zebra dove,68,0,0.0,0.07093090993825003,0.0,True
Western kingbird,59,0,0.0,0.07093090993825003,0.0,True
Song sparrow,52,0,0.0,0.07093090993825003,0.0,True
Golden eagle,7,7,1.0,0.07093090993825003,14.098226018396845,False
Magnificent frigatebird,4,4,1.0,0.07093090993825003,14.098226018396845,False
White-winged scoter,4,4,1.0,0.07093090993825003,14.098226018396845,False
Mule deer,3,3,1.0,0.07093090993825003,14.098226018396845,False
Lesser black-backed gull,2,2,1.0,0.07093090993825003,14.098226018396845,False
Belted kingfisher,1,1,1.0,0.07093090993825003,14.098226018396845,False
Black kite,1,1,1.0,0.07093090993825003,14.098226018396845,False
Bobcat,1,1,1.0,0.07093090993825003,14.098226018396845,False
Common crane,1,1,1.0,0.07093090993825003,14.098226018396845,False
Dark-billed cuckoo,1,1,1.0,0.07093090993825003,14.098226018396845,False
Flammulated owl,1,1,1.0,0.07093090993825003,14.098226018396845,False
Great gray owl,1,1,1.0,0.07093090993825003,14.098226018396845,False
Iceland gull,1,1,1.0,0.07093090993825003,14.098226018396845,False
Meadow pipit,1,1,1.0,0.07093090993825003,14.098226018396845,False
Mute swan,1,1,1.0,0.07093090993825003,14.098226018396845,False
Pheasants,1,1,1.0,0.07093090993825003,14.098226018396845,False
Pronghorn,1,1,1.0,0.07093090993825003,14.098226018396845,False
Spur-winged lapwing,1,1,1.0,0.07093090993825003,14.098226018396845,False
Western mastiff bat,1,1,1.0,0.07093090993825003,14.098226018396845,False
White-fronted Swift,1,1,1.0,0.07093090993825003,14.098226018396845,False
Common loon,5,4,0.8,0.07093090993825003,11.278580814717477,False
Red-throated loon,5,4,0.8,0.07093090993825003,11.278580814717477,False
Western/Clark's grebe complex,9,7,0.7777777777777778,0.07093090993825003,10.965286903197546,False
American white pelican,13,10,0.7692307692307693,0.07093090993825003,10.844789244920651,False
Ring-necked duck,12,9,0.75,0.07093090993825003,10.573669513797634,False
Eared grebe,4,3,0.75,0.07093090993825003,10.573669513797634,False
Snow goose,19,14,0.7368421052631579,0.07093090993825003,10.388166539871358,False
Anhinga,32,22,0.6875,0.07093090993825003,9.692530387647832,False
Snow goose/Ross's goose complex,18,12,0.6666666666666666,0.07093090993825003,9.398817345597896,False
"Ducks, geese, swans",6,4,0.6666666666666666,0.07093090993825003,9.398817345597896,False
Common merganser,3,2,0.6666666666666666,0.07093090993825003,9.398817345597896,False
Pelicans,3,2,0.6666666666666666,0.07093090993825003,9.398817345597896,False
Lesser scaup,25,15,0.6,0.07093090993825003,8.458935611038108,False
Redhead,5,3,0.6,0.07093090993825003,8.458935611038108,False
Greater white-fronted goose,29,17,0.5862068965517241,0.07093090993825003,8.264477321129185,False
Blue-winged teal,12,7,0.5833333333333334,0.07093090993825003,8.22396517739816,False
Sandhill crane,19,11,0.5789473684210527,0.07093090993825003,8.162130852756068,False
Wood stork,11,6,0.5454545454545454,0.07093090993825003,7.689941464580097,False
American black duck,8,4,0.5,0.07093090993825003,7.049113009198423,False
Crested caracara,6,3,0.5,0.07093090993825003,7.049113009198423,False
Brewer's blackbird,4,2,0.5,0.07093090993825003,7.049113009198423,False
Canvasback,4,2,0.5,0.07093090993825003,7.049113009198423,False
Herons,4,2,0.5,0.07093090993825003,7.049113009198423,False
Common tern,2,1,0.5,0.07093090993825003,7.049113009198423,False
Double-striped thick-knee,2,1,0.5,0.07093090993825003,7.049113009198423,False
Gambel's quail,2,1,0.5,0.07093090993825003,7.049113009198423,False
Glaucous gull,2,1,0.5,0.07093090993825003,7.049113009198423,False
Kittiwakes,2,1,0.5,0.07093090993825003,7.049113009198423,False
Lesser yellowlegs,2,1,0.5,0.07093090993825003,7.049113009198423,False
Mallard/mottled duck complex,2,1,0.5,0.07093090993825003,7.049113009198423,False
Marbled godwit,2,1,0.5,0.07093090993825003,7.049113009198423,False
Mottled duck,2,1,0.5,0.07093090993825003,7.049113009198423,False
Red-necked grebe,2,1,0.5,0.07093090993825003,7.049113009198423,False
Ring-necked pheasant,2,1,0.5,0.07093090993825003,7.049113009198423,False
Rough-legged hawk,2,1,0.5,0.07093090993825003,7.049113009198423,False
Royal tern,2,1,0.5,0.07093090993825003,7.049113009198423,False
Scaly-naped pigeon,2,1,0.5,0.07093090993825003,7.049113009198423,False
Sedge wren,2,1,0.5,0.07093090993825003,7.049113009198423,False
Spotted thick-knee,2,1,0.5,0.07093090993825003,7.049113009198423,False
Sulphur-bellied flycatcher,2,1,0.5,0.07093090993825003,7.049113009198423,False
Swans,2,1,0.5,0.07093090993825003,7.049113009198423,False
Swine (pigs),2,1,0.5,0.07093090993825003,7.049113009198423,False
Tundra swan,2,1,0.5,0.07093090993825003,7.049113009198423,False
Unknown terrestrial mammal,2,1,0.5,0.07093090993825003,7.049113009198423,False
Gadwall,23,11,0.4782608695652174,0.07093090993825003,6.742629834885448,False
Ruddy duck,19,9,0.47368421052631576,0.07093090993825003,6.678107061345874,False
Wild turkey,19,9,0.47368421052631576,0.07093090993825003,6.678107061345874,False
New World vultures,34,16,0.47058823529411764,0.07093090993825003,6.634459302774986,False
Ducks,36,16,0.4444444444444444,0.07093090993825003,6.265878230398598,False
Brant,9,4,0.4444444444444444,0.07093090993825003,6.265878230398598,False
Wilson's phalarope,9,4,0.4444444444444444,0.07093090993825003,6.265878230398598,False
Bufflehead,7,3,0.42857142857142855,0.07093090993825003,6.0420968650272195,False
Common goldeneye,7,3,0.42857142857142855,0.07093090993825003,6.0420968650272195,False
Swainson's hawk,30,12,0.4,0.07093090993825003,5.639290407358739,False
Double-crested cormorant,43,17,0.3953488372093023,0.07093090993825003,5.573717263087125,False
American wigeon,21,8,0.38095238095238093,0.07093090993825003,5.370752768913084,False
Wood duck,21,7,0.3333333333333333,0.07093090993825003,4.699408672798948,False
Common raven,9,3,0.3333333333333333,0.07093090993825003,4.699408672798948,False
"Falcons, kestrels, falconets",9,3,0.3333333333333333,0.07093090993825003,4.699408672798948,False
American bittern,3,1,0.3333333333333333,0.07093090993825003,4.699408672798948,False
Black-bellied whistling-duck,3,1,0.3333333333333333,0.07093090993825003,4.699408672798948,False
Cassin's finch,3,1,0.3333333333333333,0.07093090993825003,4.699408672798948,False
Cinnamon teal,3,1,0.3333333333333333,0.07093090993825003,4.699408672798948,False
Gray francolin,3,1,0.3333333333333333,0.07093090993825003,4.699408672798948,False
"Herons, egrets, bitterns",3,1,0.3333333333333333,0.07093090993825003,4.699408672798948,False
Red-breasted merganser,3,1,0.3333333333333333,0.07093090993825003,4.699408672798948,False
Wedge-tailed shearwater,3,1,0.3333333333333333,0.07093090993825003,4.699408672798948,False
"Raptors: Hawks, eagles, vultures, kites, osprey, falcons, caracaras",13,4,0.3076923076923077,0.07093090993825003,4.337915697968261,False
Northern shoveler,33,10,0.30303030303030304,0.07093090993825003,4.272189702544499,False
Cackling goose,10,3,0.3,0.07093090993825003,4.229467805519054,False
Northern harrier,21,6,0.2857142857142857,0.07093090993825003,4.028064576684812,False
Western gull,21,6,0.2857142857142857,0.07093090993825003,4.028064576684812,False
Caspian tern,7,2,0.2857142857142857,0.07093090993825003,4.028064576684812,False
Broad-winged hawk,18,5,0.2777777777777778,0.07093090993825003,3.9161738939991237,False
Great black-backed gull,18,5,0.2777777777777778,0.07093090993825003,3.9161738939991237,False
Brown pelican,11,3,0.2727272727272727,0.07093090993825003,3.8449707322900486,False
Green-winged teal,41,11,0.2682926829268293,0.07093090993825003,3.7824508829845196,False
Crows,15,4,0.26666666666666666,0.07093090993825003,3.7595269382391585,False
Mallard/American black duck complex,31,8,0.25806451612903225,0.07093090993825003,3.638251875715315,False
California gull,36,9,0.25,0.07093090993825003,3.5245565045992113,False
Snowy owl,20,5,0.25,0.07093090993825003,3.5245565045992113,False
Blue-billed white tern,8,2,0.25,0.07093090993825003,3.5245565045992113,False
Ash-throated flycatcher,4,1,0.25,0.07093090993825003,3.5245565045992113,False
Hawaiian goose,4,1,0.25,0.07093090993825003,3.5245565045992113,False
Long-billed curlew,4,1,0.25,0.07093090993825003,3.5245565045992113,False
Shorebirds,4,1,0.25,0.07093090993825003,3.5245565045992113,False
Franklin's gull,22,5,0.22727272727272727,0.07093090993825003,3.204142276908374,False
Great horned owl,28,6,0.21428571428571427,0.07093090993825003,3.0210484325136098,False
Black-headed grosbeak,14,3,0.21428571428571427,0.07093090993825003,3.0210484325136098,False
Pectoral sandpiper,14,3,0.21428571428571427,0.07093090993825003,3.0210484325136098,False
Cooper's hawk,20,4,0.2,0.07093090993825003,2.8196452036793693,False
Band-tailed pigeon,10,2,0.2,0.07093090993825003,2.8196452036793693,False
Hooded merganser,5,1,0.2,0.07093090993825003,2.8196452036793693,False
Philadelphia vireo,5,1,0.2,0.07093090993825003,2.8196452036793693,False
"Plovers, lapwings",5,1,0.2,0.07093090993825003,2.8196452036793693,False
Northern flicker,26,5,0.19230769230769232,0.07093090993825003,2.711197311230163,False
Cuckoos,12,2,0.16666666666666666,0.07093090993825003,2.349704336399474,False
White ibis,12,2,0.16666666666666666,0.07093090993825003,2.349704336399474,False
Greater yellowlegs,6,1,0.16666666666666666,0.07093090993825003,2.349704336399474,False
Red-necked phalarope,6,1,0.16666666666666666,0.07093090993825003,2.349704336399474,False
Spotted sandpiper,6,1,0.16666666666666666,0.07093090993825003,2.349704336399474,False
Whimbrel,6,1,0.16666666666666666,0.07093090993825003,2.349704336399474,False
American crow,49,8,0.16326530612244897,0.07093090993825003,2.301751186677036,False
American woodcock,32,5,0.15625,0.07093090993825003,2.2028478153745072,False
Great crested flycatcher,13,2,0.15384615384615385,0.07093090993825003,2.1689578489841304,False
Egrets,20,3,0.15,0.07093090993825003,2.114733902759527,False
Yellow-billed cuckoo,21,3,0.14285714285714285,0.07093090993825003,2.014032288342406,False
Black-crowned night heron,14,2,0.14285714285714285,0.07093090993825003,2.014032288342406,False
Blue jay,7,1,0.14285714285714285,0.07093090993825003,2.014032288342406,False
Blue-headed vireo,7,1,0.14285714285714285,0.07093090993825003,2.014032288342406,False
Eastern towhee,7,1,0.14285714285714285,0.07093090993825003,2.014032288342406,False
Glaucous-winged gull,29,4,0.13793103448275862,0.07093090993825003,1.94458289908922,False
Yellow-crowned night heron,22,3,0.13636363636363635,0.07093090993825003,1.9224853661450243,False
Blackbirds,15,2,0.13333333333333333,0.07093090993825003,1.8797634691195793,False
Rose-breasted grosbeak,15,2,0.13333333333333333,0.07093090993825003,1.8797634691195793,False
Wood thrush,23,3,0.13043478260869565,0.07093090993825003,1.8388990458778494,False
Western tanager,32,4,0.125,0.07093090993825003,1.7622782522996057,False
Sharp-tailed grouse,8,1,0.125,0.07093090993825003,1.7622782522996057,False
White-rumped sandpiper,8,1,0.125,0.07093090993825003,1.7622782522996057,False
Red-shouldered hawk,18,2,0.1111111111111111,0.07093090993825003,1.5664695575996495,False
Great-tailed grackle,9,1,0.1111111111111111,0.07093090993825003,1.5664695575996495,False
Pigeons,9,1,0.1111111111111111,0.07093090993825003,1.5664695575996495,False
"Pigeons, doves",19,2,0.10526315789473684,0.07093090993825003,1.4840237914101941,False
Sora,29,3,0.10344827586206896,0.07093090993825003,1.458437174316915,False
Wilson's snipe,39,4,0.10256410256410256,0.07093090993825003,1.4459718993227533,False
Gray kingbird,10,1,0.1,0.07093090993825003,1.4098226018396847,False
Violet-green swallow,10,1,0.1,0.07093090993825003,1.4098226018396847,False
Black-tailed jackrabbit,21,2,0.09523809523809523,0.07093090993825003,1.342688192228271,False
Spotted dove,21,2,0.09523809523809523,0.07093090993825003,1.342688192228271,False
Green-tailed towhee,11,1,0.09090909090909091,0.07093090993825003,1.2816569107633495,False
White-throated swift,45,4,0.08888888888888889,0.07093090993825003,1.2531756460797197,False
Burrowing owl,24,2,0.08333333333333333,0.07093090993825003,1.174852168199737,False
Owls,24,2,0.08333333333333333,0.07093090993825003,1.174852168199737,False
Green heron,12,1,0.08333333333333333,0.07093090993825003,1.174852168199737,False
"Sandpipers, curlews, phalaropes, allies",27,2,0.07407407407407407,0.07093090993825003,1.0443130383997663,False
Yellow-bellied sapsucker,41,3,0.07317073170731707,0.07093090993825003,1.0315775135412326,False
Common grackle,28,2,0.07142857142857142,0.07093090993825003,1.007016144171203,False
Merlin,28,2,0.07142857142857142,0.07093090993825003,1.007016144171203,False
Grasshopper sparrow,14,1,0.07142857142857142,0.07093090993825003,1.007016144171203,False
Least flycatcher,14,1,0.07142857142857142,0.07093090993825003,1.007016144171203,False
Northern house wren,14,1,0.07142857142857142,0.07093090993825003,1.007016144171203,False
Raccoon,14,1,0.07142857142857142,0.07093090993825003,1.007016144171203,False
House sparrow,29,2,0.06896551724137931,0.07093090993825003,0.97229144954461,False
Varied thrush,29,2,0.06896551724137931,0.07093090993825003,0.97229144954461,False
Veery,29,2,0.06896551724137931,0.07093090993825003,0.97229144954461,False
American golden-plover,34,2,0.058823529411764705,0.07093090993825003,0.8293074128468733,False
Evening bat,35,2,0.05714285714285714,0.07093090993825003,0.8056129153369626,False
White-winged dove,35,2,0.05714285714285714,0.07093090993825003,0.8056129153369626,False
Diving duck (Aythya),18,1,0.05555555555555555,0.07093090993825003,0.7832347787998247,False
Mountain bluebird,19,1,0.05263157894736842,0.07093090993825003,0.7420118957050971,False
White-tailed jackrabbit,19,1,0.05263157894736842,0.07093090993825003,0.7420118957050971,False
Black-bellied plover,40,2,0.05,0.07093090993825003,0.7049113009198423,False
Fox sparrow,20,1,0.05,0.07093090993825003,0.7049113009198423,False
Gray-cheeked thrush,20,1,0.05,0.07093090993825003,0.7049113009198423,False
Semipalmated plover,20,1,0.05,0.07093090993825003,0.7049113009198423,False
Unknown bird or bat,42,2,0.047619047619047616,0.07093090993825003,0.6713440961141355,False
Chipping sparrow,44,2,0.045454545454545456,0.07093090993825003,0.6408284553816748,False
Upland sandpiper,23,1,0.043478260869565216,0.07093090993825003,0.6129663486259498,False
Vaux's swift,23,1,0.043478260869565216,0.07093090993825003,0.6129663486259498,False
Brown-headed cowbird,47,2,0.0425531914893617,0.07093090993825003,0.5999245114211423,False
Northern parula,28,1,0.03571428571428571,0.07093090993825003,0.5035080720856016,False
Snow bunting,34,1,0.029411764705882353,0.07093090993825003,0.41465370642343663,False
Meadowlarks,38,1,0.02631578947368421,0.07093090993825003,0.37100594785254853,False
Black-and-white warbler,40,1,0.025,0.07093090993825003,0.35245565045992117,False
Wilson's warbler,43,1,0.023255813953488372,0.07093090993825003,0.3278657213580662,False
Least sandpiper,44,1,0.022727272727272728,0.07093090993825003,0.3204142276908374,False
Blackpoll warbler,48,1,0.020833333333333332,0.07093090993825003,0.29371304204993426,False
Semipalmated sandpiper,49,1,0.02040816326530612,0.07093090993825003,0.2877188983346295,False
House finch,49,0,0.0,0.07093090993825003,0.0,False
American redstart,47,0,0.0,0.07093090993825003,0.0,False
White-/golden-crown sparrow complex,44,0,0.0,0.07093090993825003,0.0,False
Big brown bat,41,0,0.0,0.07093090993825003,0.0,False
Swamp sparrow,41,0,0.0,0.07093090993825003,0.0,False
Palm warbler,39,0,0.0,0.07093090993825003,0.0,False
Dunlin,36,0,0.0,0.07093090993825003,0.0,False
Eastern wood-pewee,36,0,0.0,0.07093090993825003,0.0,False
Lincoln's sparrow,35,0,0.0,0.07093090993825003,0.0,False
Scissor-tailed flycatcher,35,0,0.0,0.07093090993825003,0.0,False
Cave swallow,33,0,0.0,0.07093090993825003,0.0,False
Bay-breasted warbler,31,0,0.0,0.07093090993825003,0.0,False
Northern rough-winged swallow,30,0,0.0,0.07093090993825003,0.0,False
Yellow warbler,29,0,0.0,0.07093090993825003,0.0,False
Lapland longspur,28,0,0.0,0.07093090993825003,0.0,False
Orange-crowned warbler,28,0,0.0,0.07093090993825003,0.0,False
Silver-haired bat,28,0,0.0,0.07093090993825003,0.0,False
Scaly-breasted munia,26,0,0.0,0.07093090993825003,0.0,False
New World wood-warblers,24,0,0.0,0.07093090993825003,0.0,False
Striped skunk,24,0,0.0,0.07093090993825003,0.0,False
American goldfinch,23,0,0.0,0.07093090993825003,0.0,False
Great egret,22,0,0.0,0.07093090993825003,0.0,False
Scarlet tanager,22,0,0.0,0.07093090993825003,0.0,False
Blue-gray gnatcatcher,21,0,0.0,0.07093090993825003,0.0,False
Free-tailed bats,21,0,0.0,0.07093090993825003,0.0,False
Red fox,21,0,0.0,0.07093090993825003,0.0,False
Chestnut-sided warbler,20,0,0.0,0.07093090993825003,0.0,False
Common myna,20,0,0.0,0.07093090993825003,0.0,False
Warbling vireo,20,0,0.0,0.07093090993825003,0.0,False
White-crowned sparrow,20,0,0.0,0.07093090993825003,0.0,False
Black-throated blue warbler,19,0,0.0,0.07093090993825003,0.0,False
Boat-tailed grackle,19,0,0.0,0.07093090993825003,0.0,False
Eurasian skylark,19,0,0.0,0.07093090993825003,0.0,False
Virginia opossum,19,0,0.0,0.07093090993825003,0.0,False
Brewer's sparrow,18,0,0.0,0.07093090993825003,0.0,False
Indigo bunting,18,0,0.0,0.07093090993825003,0.0,False
Western flycatcher,18,0,0.0,0.07093090993825003,0.0,False
Alder/willow flycatcher complex,17,0,0.0,0.07093090993825003,0.0,False
Magnolia warbler,17,0,0.0,0.07093090993825003,0.0,False
Cape May warbler,16,0,0.0,0.07093090993825003,0.0,False
Northern waterthrush,16,0,0.0,0.07093090993825003,0.0,False
Pine siskin,16,0,0.0,0.07093090993825003,0.0,False
Nashville warbler,15,0,0.0,0.07093090993825003,0.0,False
Bobolink,14,0,0.0,0.07093090993825003,0.0,False
Little brown bat,14,0,0.0,0.07093090993825003,0.0,False
Vesper sparrow,14,0,0.0,0.07093090993825003,0.0,False
Golden-crowned kinglet,13,0,0.0,0.07093090993825003,0.0,False
Woodchuck,13,0,0.0,0.07093090993825003,0.0,False
Chestnut munia,12,0,0.0,0.07093090993825003,0.0,False
Hummingbirds,12,0,0.0,0.07093090993825003,0.0,False
Loggerhead shrike,12,0,0.0,0.07093090993825003,0.0,False
Seminole bat,12,0,0.0,0.07093090993825003,0.0,False
Turtles,12,0,0.0,0.07093090993825003,0.0,False
Yellow-breasted chat,12,0,0.0,0.07093090993825003,0.0,False
Black-throated green warbler,11,0,0.0,0.07093090993825003,0.0,False
Eastern kingbird,11,0,0.0,0.07093090993825003,0.0,False
Eastern phoebe,11,0,0.0,0.07093090993825003,0.0,False
Eurasian collared dove,11,0,0.0,0.07093090993825003,0.0,False
Ferruginous hawk,11,0,0.0,0.07093090993825003,0.0,False
Short-billed gull,11,0,0.0,0.07093090993825003,0.0,False
MacGillivray's warbler,10,0,0.0,0.07093090993825003,0.0,False
White-tailed kite,10,0,0.0,0.07093090993825003,0.0,False
Green iguana,9,0,0.0,0.07093090993825003,0.0,False
Marsh wren,9,0,0.0,0.07093090993825003,0.0,False
Plovers,9,0,0.0,0.07093090993825003,0.0,False
Sharp-shinned hawk,9,0,0.0,0.07093090993825003,0.0,False
Zenaida dove,9,0,0.0,0.07093090993825003,0.0,False
Blackburnian warbler,8,0,0.0,0.07093090993825003,0.0,False
Buff-breasted sandpiper,8,0,0.0,0.07093090993825003,0.0,False
Dickcissel,8,0,0.0,0.07093090993825003,0.0,False
Eastern bluebird,8,0,0.0,0.07093090993825003,0.0,False
Grackles,8,0,0.0,0.07093090993825003,0.0,False
Lark bunting,8,0,0.0,0.07093090993825003,0.0,False
Mississippi kite,8,0,0.0,0.07093090993825003,0.0,False
Northern mockingbird,8,0,0.0,0.07093090993825003,0.0,False
Pine warbler,8,0,0.0,0.07093090993825003,0.0,False
Winter wren,8,0,0.0,0.07093090993825003,0.0,False
Acadian flycatcher,7,0,0.0,0.07093090993825003,0.0,False
American tree sparrow,7,0,0.0,0.07093090993825003,0.0,False
Baltimore oriole,7,0,0.0,0.07093090993825003,0.0,False
Common ground dove,7,0,0.0,0.07093090993825003,0.0,False
Northern yellow bat,7,0,0.0,0.07093090993825003,0.0,False
Prairie warbler,7,0,0.0,0.07093090993825003,0.0,False
Ruby-throated hummingbird,7,0,0.0,0.07093090993825003,0.0,False
Ruddy turnstone,7,0,0.0,0.07093090993825003,0.0,False
Snowy egret,7,0,0.0,0.07093090993825003,0.0,False
Baird's sandpiper,6,0,0.0,0.07093090993825003,0.0,False
Brown thrasher,6,0,0.0,0.07093090993825003,0.0,False
Canada warbler,6,0,0.0,0.07093090993825003,0.0,False
Clay-colored sparrow,6,0,0.0,0.07093090993825003,0.0,False
Common gray fox,6,0,0.0,0.07093090993825003,0.0,False
"Finches, euphonias",6,0,0.0,0.07093090993825003,0.0,False
Forster's tern,6,0,0.0,0.07093090993825003,0.0,False
Gopher tortoise,6,0,0.0,0.07093090993825003,0.0,False
Lark sparrow,6,0,0.0,0.07093090993825003,0.0,False
Least tern,6,0,0.0,0.07093090993825003,0.0,False
Lesser nighthawk,6,0,0.0,0.07093090993825003,0.0,False
Purple finch,6,0,0.0,0.07093090993825003,0.0,False
Rabbits,6,0,0.0,0.07093090993825003,0.0,False
Richardson's ground squirrel,6,0,0.0,0.07093090993825003,0.0,False
Rufous hummingbird,6,0,0.0,0.07093090993825003,0.0,False
Rusty blackbird,6,0,0.0,0.07093090993825003,0.0,False
White-eyed vireo,6,0,0.0,0.07093090993825003,0.0,False
Yellow-bellied flycatcher,6,0,0.0,0.07093090993825003,0.0,False
Yellow-throated warbler,6,0,0.0,0.07093090993825003,0.0,False
