AIRPORT,LATITUDE,LONGITUDE,total,damaged,damage_rate
DENVER INTL AIRPORT,39.85841,-104.667,614,19,0.030944625407166124
SACRAMENTO INTL,38.69542,-121.59077,402,33,0.08208955223880597
NASHVILLE INTL,36.12448,-86.67818,379,5,0.013192612137203167
DALLAS LOVE FIELD ARPT,32.84711,-96.85177,371,7,0.018867924528301886
WILLIAM P HOBBY ARPT,29.64542,-95.27889,358,9,0.025139664804469275
BALTIMORE/WASH INTL THURGOOD MARSHAL ARPT,39.1754,-76.6682,347,12,0.0345821325648415
AUSTIN-BERGSTROM INTL,30.19453,-97.66987,337,13,0.03857566765578635
CHICAGO MIDWAY INTL ARPT,41.78598,-87.75242,316,4,0.012658227848101266
LAMBERT-ST LOUIS INTL,38.74769,-90.35999,300,9,0.03
ORLANDO INTL,28.42889,-81.31603,261,11,0.0421455938697318
METRO OAKLAND INTL,37.72129,-122.22072,223,5,0.02242152466367713
SAN ANTONIO INTL,29.53369,-98.46978,210,4,0.01904761904761905
KANSAS CITY INTL,39.29761,-94.71391,200,9,0.045
LONG BEACH-DAUGH FLD,33.81772,-118.15161,168,3,0.017857142857142856
NORMAN Y. MINETA SAN JOSE INTL ARPT,37.36186,-121.92901,159,12,0.07547169811320754
LOUIE ARMSTRONG NEW ORLEANS INTL ARPT,29.99339,-90.25803,132,9,0.06818181818181818
HARTSFIELD - JACKSON ATLANTA INTL ARPT,33.64044,-84.42694,131,3,0.022900763358778626
PHOENIX SKY HARBOR INTL ARPT,33.43417,-112.00806,107,5,0.04672897196261682
LOS ANGELES INTL,33.94254,-118.40807,103,9,0.08737864077669903
PITTSBURGH INTL ARPT,40.49147,-80.23287,86,1,0.011627906976744186
TAMPA INTL,27.97547,-82.53325,85,2,0.023529411764705882
JOHN GLENN COLUMBUS INTL ARPT,39.996947,-82.892161,84,4,0.047619047619047616
INDIANAPOLIS INTL ARPT,39.71733,-86.29438,75,1,0.013333333333333334
LA GUARDIA ARPT,40.77724,-73.87261,75,3,0.04
PORTLAND INTL (OR),45.58872,-122.5975,72,7,0.09722222222222222
EPPLEY AIRFIELD,41.30252,-95.89417,70,4,0.05714285714285714
HARRY REID INTERNATIONAL AIRPORT,36.08036,-115.15233,69,5,0.07246376811594203
FORT LAUDERDALE/HOLLYWOOD INTL,26.07258,-80.15275,64,2,0.03125
ONTARIO INTL ARPT,34.056,-117.60119,64,1,0.015625
RONALD REAGAN WASHINGTON NATIONAL ARPT,38.85208,-77.03772,63,0,0.0
BOB HOPE ARPT,34.20062,-118.3585,59,2,0.03389830508474576
WILL ROGERS WORLD ARPT,35.39309,-97.60073,59,0,0.0
SOUTHWEST FLORIDA INTL ARPT,26.53617,-81.75517,58,2,0.034482758620689655
SAN DIEGO INTL,32.73356,-117.18966,56,3,0.05357142857142857
ALBUQUERQUE INTL SUNPORT,35.04022,-106.60919,53,0,0.0
JOHN WAYNE-ORANGE COUNTY ARPT,33.67566,-117.86822,53,1,0.018867924528301886
BIRMINGHAM-SHUTTLESWORTH INTL,33.56294,-86.75355,52,1,0.019230769230769232
TULSA INTL,36.19837,-95.88824,52,0,0.0
RALEIGH-DURHAM INTL,35.87764,-78.78747,51,2,0.0392156862745098
RHODE ISLAND TF GREEN INTERNATIONAL AIRPORT,41.724,-71.42822,48,1,0.020833333333333332
SALT LAKE CITY INTL,40.78839,-111.97777,48,6,0.125
GENERAL MITCHELL INTL,42.94722,-87.89658,45,2,0.044444444444444446
JACKSONVILLE INTL,30.49406,-81.68786,45,1,0.022222222222222223
MUHAMMAD ALI INTERNATIONAL,38.17439,-85.736,42,0,0.0
SARASOTA-BRADENTON INTL ARPT,27.39533,-82.55411,40,0,0.0
KAHULUI ARPT,20.89865,-156.43046,40,0,0.0
CLEVELAND-HOPKINS INTL ARPT,41.41089,-81.8494,37,1,0.02702702702702703
ALBANY INTL,42.74812,-73.80298,36,1,0.027777777777777776
CITY OF COLORADO SPRINGS MUNI APRT,38.80581,-104.70025,36,0,0.0
LUBBOCK PRESTON SMITH INTL ARPT,33.66364,-101.82278,35,1,0.02857142857142857
MEMPHIS INTL,35.04242,-89.97667,34,0,0.0
LONG ISLAND MAC ARTHUR,40.79524,-73.10021,34,2,0.058823529411764705
DANIEL K. INOUYE INTERNATIONAL AIRPORT,21.31869,-157.92241,34,0,0.0
