AIRPORT,dominant_phase,common_altitude_group,common_size,common_species
ADDISON AIRPORT,Approach,"1,501-3,500 ft",Medium,Unknown bird
ALBANY INTL,Approach,0-500 ft,Small,Unknown bird - small
ALBUQUERQUE INTL SUNPORT,Approach,0-500 ft,Small,Unknown bird
AUSTIN-BERGSTROM INTL,Approach,0-500 ft,Small,Unknown bird - small
BALTIMORE/WASH INTL THURGOOD MARSHAL ARPT,Approach,0-500 ft,Small,Unknown bird - small
BELIZE INTERNATIONAL ARPT,Approach,"3,501-10,000 ft",Large,Unknown bird
BELLINGHAM INTL,Approach,0-500 ft,Medium,Gulls
BILL AND  HILLARY CLINTON NATL ARPT/ADAMS FIELD,Approach,0-500 ft,Small,Unknown bird
BIRMINGHAM-SHUTTLESWORTH INTL,Approach,0-500 ft,Small,Unknown bird - small
BOB HOPE ARPT,Approach,0-500 ft,Small,Unknown bird
BOISE AIR TERMINAL/GOWEN FIELD,Approach,0-500 ft,Small,Unknown bird
BRADLEY INTL,Approach,0-500 ft,Small,Unknown bird - small
BUFFALO-NIAGARA INTL,Approach,0-500 ft,Unknown,Unknown bird
CANCUN INTL,Approach,0-500 ft,Small,Unknown bird
CHARLESTON AFB/INTL ARPT,Approach,0-500 ft,Small,Unknown bird
CHARLOTTE/DOUGLAS INTL ARPT,Approach,"1,501-3,500 ft",Small,Unknown bird
CHICAGO MIDWAY INTL ARPT,Approach,0-500 ft,Unknown,Unknown bird
CHICAGO O'HARE INTL ARPT,Approach,0-500 ft,Small,Unknown bird
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,Approach,0-500 ft,Small,European starling
CITY OF COLORADO SPRINGS MUNI APRT,Approach,0-500 ft,Small,Unknown bird
CLEVELAND-HOPKINS INTL ARPT,Approach,0-500 ft,Small,Unknown bird
CORPUS CHRISTI INTL ARPT,Approach,0-500 ft,Unknown,Unknown bird
DALLAS LOVE FIELD ARPT,Approach,0-500 ft,Small,Unknown bird
DALLAS/FORT WORTH INTL ARPT,Climb,0-500 ft,Unknown,Unknown bird
