report_id,OPID,OPERATOR,AIRPORT,LATITUDE,LONGITUDE,INCIDENT_MONTH,PHASE_OF_FLIGHT,ALTITUDE_GROUP,DISTANCE_GROUP,SIZE_CLEAN,SPECIES,AC_MASS,SKY_CLEAN,Damage_Binary,phase_rate,size_rate,altitude_rate,scenario_risk
SWA-RPT-0001,SWA,SOUTHWEST AIRLINES,ONTARIO INTL ARPT,34.056,-117.60119,8,Climb,"10,000 ft+",20-50 NM,Large,Unknown bird - large,4.0,No Cloud,1,0.133716323296355,0.43758449752140605,0.2191780821917808,0.2875493534767131
SWA-RPT-0002,SWA,SOUTHWEST AIRLINES,ORLANDO INTL,28.42889,-81.31603,10,Climb,"10,000 ft+",20-50 NM,Large,Unknown bird - large,4.0,No Cloud,0,0.133716323296355,0.43758449752140605,0.2191780821917808,0.2875493534767131
SWA-RPT-0003,SWA,SOUTHWEST AIRLINES,RENO TAHOE INTL,39.49858,-119.76806,5,Descent,"10,000 ft+",5-20 NM,Large,Golden eagle,4.0,Some Cloud,1,0.09961190168175937,0.43758449752140605,0.2191780821917808,0.27561280591160464
SWA-RPT-0004,SWA,SOUTHWEST AIRLINES,CANCUN INTL,21.036528,-86.877083,5,Descent,"10,000 ft+",20-50 NM,Large,Unknown bird - large,4.0,Some Cloud,1,0.09961190168175937,0.43758449752140605,0.2191780821917808,0.27561280591160464
SWA-RPT-0005,SWA,SOUTHWEST AIRLINES,SACRAMENTO INTL,38.69542,-121.59077,1,Climb,"501-1,500 ft",0-5 NM,Large,Snow goose,4.0,Overcast,1,0.133716323296355,0.43758449752140605,0.12209450830140485,0.26813263869863796
SWA-RPT-0006,SWA,SOUTHWEST AIRLINES,SACRAMENTO INTL,38.69542,-121.59077,11,Climb,"501-1,500 ft",0-5 NM,Large,Unknown bird - large,4.0,No Cloud,1,0.133716323296355,0.43758449752140605,0.12209450830140485,0.26813263869863796
SWA-RPT-0007,SWA,SOUTHWEST AIRLINES,DENVER INTL AIRPORT,39.85841,-104.667,1,Climb,"501-1,500 ft",0-5 NM,Large,Unknown bird - large,4.0,Some Cloud,1,0.133716323296355,0.43758449752140605,0.12209450830140485,0.26813263869863796
SWA-RPT-0008,SWA,SOUTHWEST AIRLINES,NORMAN Y. MINETA SAN JOSE INTL ARPT,37.36186,-121.92901,12,Climb,"501-1,500 ft",0-5 NM,Large,Geese,4.0,No Cloud,1,0.133716323296355,0.43758449752140605,0.12209450830140485,0.26813263869863796
SWA-RPT-0009,SWA,SOUTHWEST AIRLINES,HARRY REID INTERNATIONAL AIRPORT,36.08036,-115.15233,10,Climb,"501-1,500 ft",5-20 NM,Large,Snow goose/Ross's goose complex,4.0,No Cloud,1,0.133716323296355,0.43758449752140605,0.12209450830140485,0.26813263869863796
SWA-RPT-0010,SWA,SOUTHWEST AIRLINES,LOUIE ARMSTRONG NEW ORLEANS INTL ARPT,29.99339,-90.25803,12,Climb,"501-1,500 ft",0 NM,Large,Bald eagle,4.0,No Cloud,1,0.133716323296355,0.43758449752140605,0.12209450830140485,0.26813263869863796
SWA-RPT-0011,SWA,SOUTHWEST AIRLINES,DALLAS LOVE FIELD ARPT,32.84711,-96.85177,1,Climb,"501-1,500 ft",0-5 NM,Large,Unknown bird - large,4.0,Overcast,1,0.133716323296355,0.43758449752140605,0.12209450830140485,0.26813263869863796
SWA-RPT-0012,SWA,SOUTHWEST AIRLINES,KANSAS CITY INTL,39.29761,-94.71391,1,Climb,"501-1,500 ft",Unknown,Large,Canada goose,4.0,No Cloud,1,0.133716323296355,0.43758449752140605,0.12209450830140485,0.26813263869863796
