INCIDENT_MONTH,TIME_OF_DAY,PHASE_OF_FLIGHT,ALTITUDE_GROUP,DISTANCE_GROUP,SPECIES,SIZE_CLEAN,NUM_STRUCK,AC_CLASS,AC_MASS,TYPE_ENG,NUM_ENGS,FAAREGION,STATE,SKY_CLEAN,Damage_Binary
1,Night,Climb,"501-1,500 ft",Unknown,Unknown bird,Unknown,1,A,2.0,A,2.0,ASO,FL,No Cloud,1
2,Day,Landing Roll,0-500 ft,0 NM,European starling,Small,1,A,3.0,D,2.0,ACE,MO,Overcast,0
1,Day,Approach,0-500 ft,0-5 NM,Unknown bird - small,Small,2-10,A,1.0,C,2.0,ASO,FL,Some Cloud,0
1,Night,Landing Roll,0-500 ft,0 NM,American barn owl,Medium,1,A,4.0,D,3.0,AWP,CA,Some Cloud,0
1,Day,Climb,Unknown,Unknown,Eastern meadowlark,Small,1,A,4.0,D,2.0,ASO,NC,Unknown,0
1,Night,Landing Roll,0-500 ft,0 NM,American coot,Medium,1,A,4.0,D,2.0,AWP,NV,Unknown,0
1,Night,Take-off Run,0-500 ft,0 NM,Pacific golden-plover,Small,1,A,4.0,D,2.0,AWP,HI,Unknown,0
1,Day,Approach,0-500 ft,0 NM,Unknown bird,Unknown,1,A,4.0,D,2.0,FGN,FN,No Cloud,0
1,Day,Approach,Unknown,Unknown,Unknown bird - medium,Medium,1,A,1.0,C,2.0,ASO,FL,Unknown,1
1,Day,Landing Roll,0-500 ft,0 NM,Dunlin,Small,2-10,A,1.0,A,1.0,ASO,FL,Some Cloud,0
1,Dawn,Take-off Run,0-500 ft,0 NM,Unknown bird - small,Small,1,A,4.0,D,3.0,ASW,TX,No Cloud,0
1,Dusk,Local,0-500 ft,0-5 NM,Sparrows,Small,1,A,3.0,D,2.0,AWP,CA,Some Cloud,0
1,Night,Approach,0-500 ft,0-5 NM,Northern pintail,Medium,1,A,4.0,D,2.0,AWP,CA,No Cloud,0
1,Day,Landing Roll,0-500 ft,0 NM,Unknown bird - large,Large,1,A,4.0,D,2.0,ANM,WA,Overcast,0
1,Night,Landing Roll,0-500 ft,0 NM,American barn owl,Medium,1,A,4.0,D,2.0,AWP,HI,Overcast,0
1,Night,Approach,0-500 ft,0-5 NM,Unknown bird - medium,Medium,1,A,4.0,D,2.0,ASW,TX,No Cloud,0
1,Night,Climb,0-500 ft,0 NM,Pacific golden-plover,Small,1,A,4.0,D,2.0,AWP,HI,Some Cloud,0
1,Day,Landing Roll,0-500 ft,0 NM,Lapland longspur,Small,1,A,4.0,D,2.0,ANM,CO,No Cloud,0
1,Day,Approach,"501-1,500 ft",0-5 NM,White-throated swift,Small,1,A,1.0,A,1.0,AWP,CA,Some Cloud,0
1,Day,Landing Roll,0-500 ft,0 NM,Turkey vulture,Large,1,A,1.0,A,1.0,ASO,SC,No Cloud,0
1,Day,Approach,"3,501-10,000 ft",Unknown,American pipit,Small,2-10,A,4.0,D,2.0,AWP,CA,Overcast,0
1,Day,Approach,Unknown,Unknown,Turkey vulture,Large,1,A,1.0,C,2.0,ASO,FL,Some Cloud,0
1,Day,Climb,"501-1,500 ft",0-5 NM,Unknown bird - small,Small,1,A,4.0,D,2.0,ASO,FL,No Cloud,0
1,Dusk,Approach,0-500 ft,0 NM,American pipit,Small,1,A,4.0,D,2.0,ASW,TX,Overcast,0
1,Day,Take-off Run,0-500 ft,0 NM,Gulls,Medium,1,A,4.0,D,2.0,ASO,FL,No Cloud,0
1,Day,Take-off Run,0-500 ft,0 NM,Black-tailed jackrabbit,Large,1,,,,,AWP,CA,Some Cloud,0
1,Day,Climb,0-500 ft,Unknown,Unknown bird - medium,Medium,1,A,2.0,A,2.0,ASO,FL,Some Cloud,0
1,Day,Approach,0-500 ft,Unknown,Unknown bird - medium,Medium,1,A,3.0,D,2.0,ASO,SC,Overcast,0
1,Day,Approach,Unknown,Unknown,Horned lark,Small,1,A,4.0,D,2.0,ANM,UT,Overcast,0
1,Day,Approach,0-500 ft,Unknown,Unknown bird - small,Small,1,A,4.0,D,2.0,AWP,CA,No Cloud,0
1,Night,Approach,0-500 ft,0 NM,Unknown bird - small,Small,1,A,4.0,D,2.0,ASO,FL,No Cloud,0
1,Night,Approach,0-500 ft,0 NM,Mourning dove,Small,1,A,4.0,D,2.0,ASO,GA,Overcast,0
1,Day,Approach,"501-1,500 ft",Unknown,Unknown bird - medium,Medium,1,A,1.0,A,1.0,ASO,FL,Some Cloud,0
1,Day,Landing Roll,0-500 ft,0 NM,Unknown bird - small,Small,1,A,3.0,D,2.0,AWP,CA,Overcast,0
